,incorrect,sequence,session_end,session_seconds,session_start,special,total_commands
0,0,23,2020-02-07 21:31:16.524228,513.113095,2020-02-07 21:22:43.411133,5,28
1,0,12,2020-02-07 22:23:58.466970,912.647586,2020-02-07 22:08:45.819384,9,21
2,13,76,2020-02-08 11:10:14.003028,3471.892989,2020-02-08 10:12:22.110039,109,198
3,33,437,2020-02-08 13:23:33.799195,5509.803525,2020-02-08 11:51:43.995670,534,1004
4,13,119,2020-02-08 14:10:32.699952,1747.600238,2020-02-08 13:41:25.099714,29,161
5,1,0,2020-02-12 21:40:32.080792,0.0,2020-02-12 21:40:32.080792,0,1
6,0,84,2020-02-12 22:10:11.568066,693.694631,2020-02-12 21:58:37.873435,23,107
