,incorrect,sequence,session_end,session_seconds,session_start,special,total_commands
0,0,7,2020-02-07 21:25:21.606925,158.195792,2020-02-07 21:22:43.411133,1,8
1,0,16,2020-02-07 21:31:16.524228,209.617418,2020-02-07 21:27:46.906810,4,20
2,0,4,2020-02-07 22:09:13.219582,27.400198,2020-02-07 22:08:45.819384,1,5
3,0,3,2020-02-07 22:18:14.771496,56.479154,2020-02-07 22:17:18.292342,3,6
4,0,5,2020-02-07 22:23:58.466970,59.869496,2020-02-07 22:22:58.597474,5,10
5,0,8,2020-02-08 10:16:36.657616,254.547577,2020-02-08 10:12:22.110039,4,12
6,3,1,2020-02-08 10:21:55.373558,86.718759,2020-02-08 10:20:28.654799,0,4
7,6,43,2020-02-08 10:40:55.113595,714.642407,2020-02-08 10:29:00.471188,11,60
8,1,0,2020-02-08 10:48:00.941144,71.1475,2020-02-08 10:46:49.793644,10,11
9,0,6,2020-02-08 10:54:03.265708,78.163237,2020-02-08 10:52:45.102471,23,29
10,2,0,2020-02-08 10:59:12.634329,139.102382,2020-02-08 10:56:53.531947,13,15
11,1,18,2020-02-08 11:10:14.003028,153.966342,2020-02-08 11:07:40.036686,48,67
12,0,14,2020-02-08 11:53:50.951161,126.955491,2020-02-08 11:51:43.995670,37,51
13,2,6,2020-02-08 11:57:15.397359,75.218385,2020-02-08 11:56:00.178974,5,13
14,0,7,2020-02-08 12:01:09.095702,102.66717,2020-02-08 11:59:26.428532,1,8
15,15,217,2020-02-08 12:40:41.753487,2129.829974,2020-02-08 12:05:11.923513,141,373
16,4,76,2020-02-08 12:55:34.551472,584.988284,2020-02-08 12:45:49.563188,140,220
17,12,117,2020-02-08 13:23:33.799195,1488.251443,2020-02-08 12:58:45.547752,210,339
18,8,103,2020-02-08 14:01:06.704486,1181.604772,2020-02-08 13:41:25.099714,29,140
19,5,9,2020-02-08 14:05:47.272965,29.436419,2020-02-08 14:05:17.836546,0,14
20,0,7,2020-02-08 14:10:32.699952,148.371298,2020-02-08 14:08:04.328654,0,7
21,1,0,2020-02-12 21:40:32.080792,0.0,2020-02-12 21:40:32.080792,0,1
22,0,20,2020-02-12 22:00:25.823087,107.949652,2020-02-12 21:58:37.873435,14,34
23,0,64,2020-02-12 22:10:11.568066,458.090123,2020-02-12 22:02:33.477943,9,73
